twosides_drug_id,matched_drugbank_id,matched_drugbank_name,match_method
CID000002995,DB01151,Desipramine,PubChem CID
CID000005878,DB00621,Oxandrolone,PubChem CID
CID000002141,DB01143,Amifostine,PubChem CID
CID000005381,DB00799,Tazarotene,PubChem CID
CID000004771,DB00191,Phentermine,PubChem CID
CID000060787,DB01232,Saquinavir,Connectivity InChIKey
CID000060877,DB00879,Emtricitabine,PubChem CID
CID000003827,DB00920,Ketotifen,PubChem CID
CID000003821,DB01221,Ketamine,PubChem CID
CID000002130,DB00915,Amantadine,PubChem CID
CID000005453,DB04572,Thiotepa,PubChem CID
CID000003373,DB01205,Flumazenil,PubChem CID
CID000003372,DB00623,Fluphenazine,PubChem CID
CID000002519,DB00201,Caffeine,PubChem CID
CID000041317,DB00459,Acitretin,Connectivity InChIKey
CID000115237,DB01267,Paliperidone,PubChem CID
CID000005352,DB00605,Sulindac,Connectivity InChIKey
CID000003040,DB00485,Dicloxacillin,Connectivity InChIKey
CID000197712,DB06403,Ambrisentan,Connectivity InChIKey
CID000060164,DB00210,Adapalene,PubChem CID
CID000004748,DB00850,Perphenazine,PubChem CID
CID000004745,DB01186,Pergolide,Connectivity InChIKey
CID000002478,DB01008,Busulfan,PubChem CID
CID000003278,DB00903,Etacrynic acid,PubChem CID
CID000002622,DB01413,Cefepime,Connectivity InChIKey
CID000003741,DB09134,Ioversol,PubChem CID
CID000002610,DB01140,Cefadroxil,Connectivity InChIKey
CID000004819,DB01085,Pilocarpine,Connectivity InChIKey
CID000005593,DB00809,Tropicamide,PubChem CID
CID000003914,DB01210,Levobunolol,Connectivity InChIKey
CID000003784,DB00270,Isradipine,PubChem CID
CID000014888,,,Unmatched
CID000002708,DB00291,Chlorambucil,PubChem CID
CID000003397,DB00499,Flutamide,PubChem CID
CID006436173,DB01220,Rifaximin,PubChem CID
CID000000119,DB02530,gamma-Aminobutyric acid,PubChem CID
CID001349907,DB00763,Methimazole,PubChem CID
CID000004053,DB01042,Melphalan,Connectivity InChIKey
CID000060612,DB11428,Medetomidine,Full InChIKey
CID000003964,DB00408,Loxapine,PubChem CID
CID000004425,DB01183,Naloxone,Connectivity InChIKey
CID000002274,DB00355,Aztreonam,Connectivity InChIKey
CID000150310,DB00700,Eplerenone,Connectivity InChIKey
CID000005525,DB00519,Trandolapril,Connectivity InChIKey
CID000004727,DB00859,Penicillamine,Connectivity InChIKey
CID000003384,DB00324,Fluorometholone,Connectivity InChIKey
CID000002973,DB00746,Deferoxamine,PubChem CID
CID000003494,DB00986,Glycopyrronium,Full InChIKey
CID000002349,DB01053,Benzylpenicillin,Connectivity InChIKey
CID000002283,,,Unmatched
CID006435110,DB00602,Ivermectin,Connectivity InChIKey
CID000005297,DB01082,Streptomycin,Connectivity InChIKey
CID000005515,DB01030,Topotecan,Connectivity InChIKey
CID000048175,,,Unmatched
CID000002637,DB01331,Cefoxitin,Connectivity InChIKey
CID000027991,DB00035,Desmopressin,Connectivity InChIKey
CID000002177,DB00701,Amprenavir,Connectivity InChIKey
CID000060696,DB00728,Rocuronium,Connectivity InChIKey
CID000004739,DB00552,Pentostatin,Connectivity InChIKey
CID000077992,DB00998,Frovatriptan,PubChem CID
CID000002019,DB00970,Dactinomycin,Connectivity InChIKey
CID004659569,DB00323,Tolcapone,PubChem CID
CID000004607,DB00713,Oxacillin,Connectivity InChIKey
CID000005052,DB00206,Reserpine,Connectivity InChIKey
CID000119182,DB00631,Clofarabine,PubChem CID
CID000005215,DB00359,Sulfadiazine,PubChem CID
CID000005486,DB00775,Tirofiban,Connectivity InChIKey
CID000145068,DB00435,Nitric Oxide,PubChem CID
CID000003637,DB01275,Hydralazine,PubChem CID
CID000072938,DB01155,Gemifloxacin,Connectivity InChIKey
CID000003382,DB01047,Fluocinonide,Connectivity InChIKey
CID000004140,DB00353,Methylergometrine,Connectivity InChIKey
CID000004195,DB00211,Midodrine,PubChem CID
CID000002215,DB00714,Apomorphine,Connectivity InChIKey
CID000000298,DB00446,Chloramphenicol,Connectivity InChIKey
CID000444033,DB01410,Ciclesonide,Connectivity InChIKey
CID000082146,DB00307,Bexarotene,PubChem CID
CID000004932,DB01182,Propafenone,PubChem CID
CID000002266,DB00548,Azelaic acid,PubChem CID
CID000002369,DB00195,Betaxolol,PubChem CID
CID000002232,DB00278,Argatroban,Connectivity InChIKey
CID005473385,,,Unmatched
CID000003291,DB00593,Ethosuximide,PubChem CID
CID000002725,DB01114,Chlorpheniramine,PubChem CID
CID000002675,DB00671,Cefixime,Connectivity InChIKey
CID000004645,,,Unmatched
CID000004913,DB01035,Procainamide,PubChem CID
CID000001134,DB01265,Telbivudine,Connectivity InChIKey
CID000071273,DB00296,Ropivacaine,Connectivity InChIKey
CID000003562,DB01159,Halothane,PubChem CID
CID000002551,DB00411,Carbamoylcholine,Full InChIKey
CID000002727,DB00672,Chlorpropamide,PubChem CID
CID000002673,DB01333,Cefradine,Connectivity InChIKey
CID000002370,DB01019,Bethanechol,PubChem CID
CID000039860,DB00486,Nabilone,Connectivity InChIKey
CID000005721,DB00558,Zanamivir,Connectivity InChIKey
CID000012620,DB00632,Docosanol,PubChem CID
CID000040976,DB00294,Etonogestrel,Connectivity InChIKey
CID000005070,DB00740,Riluzole,PubChem CID
CID000051634,DB00419,Miglustat,PubChem CID
CID000003381,DB00591,Fluocinolone acetonide,Connectivity InChIKey
CID000002170,DB00543,Amoxapine,PubChem CID
CID003086258,,,Unmatched
CID009571074,DB01066,Cefditoren,Connectivity InChIKey
CID000004011,DB00934,Maprotiline,PubChem CID
CID000002182,DB00261,Anagrelide,PubChem CID
CID000005482,DB01007,Tioconazole,PubChem CID
