twosides_drug_id,twosides_raw_name,matched_drugbank_id,matched_drugbank_name,match_method
CID000004607,,,,Unmatched
CID000005052,,,,Unmatched
CID000119182,,,,Unmatched
CID000005215,,DB00359,Sulfadiazine,Salt-Stripped SMILES
CID000005486,,,,Unmatched
CID000145068,,DB00435,Nitric Oxide,Salt-Stripped SMILES
CID000003637,,DB01275,Hydralazine,Salt-Stripped SMILES
CID000072938,,,,Unmatched
CID000003382,,,,Unmatched
CID000004140,,,,Unmatched
CID000004195,,DB00211,Midodrine,Salt-Stripped SMILES
CID000002215,,,,Unmatched
CID000000298,,,,Unmatched
CID000444033,,,,Unmatched
CID000082146,,DB00307,Bexarotene,Salt-Stripped SMILES
CID000004932,,DB01182,Propafenone,Salt-Stripped SMILES
CID000002266,,DB00548,Azelaic acid,Salt-Stripped SMILES
CID000002369,,DB00195,Betaxolol,Salt-Stripped SMILES
CID000002232,,,,Unmatched
CID005473385,,,,Unmatched
CID000003291,,DB00593,Ethosuximide,Salt-Stripped SMILES
CID000002725,,DB01114,Chlorpheniramine,Salt-Stripped SMILES
CID000002675,,,,Unmatched
CID000004645,,,,Unmatched
CID000004913,,DB01035,Procainamide,Salt-Stripped SMILES
CID000001134,,,,Unmatched
CID000071273,,,,Unmatched
CID000003562,,DB01159,Halothane,Salt-Stripped SMILES
CID000002551,,DB00411,Carbamoylcholine,Salt-Stripped SMILES
CID000002727,,DB00672,Chlorpropamide,Salt-Stripped SMILES
CID000002673,,,,Unmatched
CID000002370,,DB01019,Bethanechol,Salt-Stripped SMILES
CID000039860,,,,Unmatched
CID000005721,,,,Unmatched
CID000012620,,DB00632,Docosanol,Salt-Stripped SMILES
CID000040976,,,,Unmatched
CID000005070,,DB00740,Riluzole,Salt-Stripped SMILES
CID000051634,,,,Unmatched
CID000003381,,,,Unmatched
CID000002170,,DB00543,Amoxapine,Salt-Stripped SMILES
CID003086258,,,,Unmatched
CID009571074,,,,Unmatched
CID000004011,,DB00934,Maprotiline,Salt-Stripped SMILES
CID000002182,,,,Unmatched
CID000005482,,DB01007,Tioconazole,Salt-Stripped SMILES
